Date,Client,Poids reçu
24/01/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,813 674
18/01/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,239 108
18/01/2025,PETRO IVOIRE,960 797
17/01/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,288 229
17/01/2025,PETRO IVOIRE,1 205 791
16/01/2025,VIVO ENERGY CÔTE D'IVOIRE,1 300 000
16/01/2025,PETRO IVOIRE,166 802
16/01/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,41 202
14/01/2025,VIVO ENERGY CÔTE D'IVOIRE,1 000 000
14/01/2025,PETRO IVOIRE,1 602 884
14/01/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,378 315
13/01/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,409 966
13/01/2025,PETRO IVOIRE,1 778 266
08/01/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,232 864
08/01/2025,PETRO IVOIRE,966 990
07/01/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,551 472
07/01/2025,PETRO IVOIRE,2 445 841
04/01/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,379 426
04/01/2025,PETRO IVOIRE,1 629 458
02/01/2025,PETRO IVOIRE,1 211 384
02/01/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,288 759
01/01/2025,VIVO ENERGY CÔTE D'IVOIRE,1 000 000
01/01/2025,PETRO IVOIRE,1 600 787
01/01/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,399 216
31/12/2024,PETRO IVOIRE,196 055
27/12/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,490 307
27/12/2024,PETRO IVOIRE,2 176 951
23/12/2024,PETRO IVOIRE,677 325
22/12/2024,PETRO IVOIRE,1 500 752
21/12/2024,VIVO ENERGY CÔTE D'IVOIRE,700 000
21/12/2024,PETRO IVOIRE,2 303 824
18/12/2024,PETRO IVOIRE,1 904 232
16/12/2024,PETRO IVOIRE,2 983 686
13/12/2024,PETRO IVOIRE,2 012 769
13/12/2024,VIVO ENERGY CÔTE D'IVOIRE,1 500 000
10/12/2024,VIVO ENERGY CÔTE D'IVOIRE,1 500 000
10/12/2024,PETRO IVOIRE,1 530 287
09/12/2024,PETRO IVOIRE,1 500 181
06/12/2024,PETRO IVOIRE,473 912
04/12/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,39 686
04/12/2024,PETRO IVOIRE,1 453 034
30/11/2024,PETRO IVOIRE,1 500 000
30/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,3 000 000
26/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,310 588
26/11/2024,PETRO IVOIRE,1 622 623
23/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,312 039
23/11/2024,VIVO ENERGY CÔTE D'IVOIRE,1 000 000
23/11/2024,PETRO IVOIRE,1 689 100
21/11/2024,PETRO IVOIRE,1 210 354
21/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,172 497
21/11/2024,PETRO IVOIRE,754 029
21/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,277 362
20/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,259 172
20/11/2024,PETRO IVOIRE,1 251 523
16/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,157 781
16/11/2024,PETRO IVOIRE,662 323
15/11/2024,PETRO IVOIRE,21 077
15/11/2024,VIVO ENERGY CÔTE D'IVOIRE,1 500 000
15/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,4 868
14/11/2024,PETRO IVOIRE,1 180 111
14/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,320 553
13/11/2024,PETRO IVOIRE,1 153 110
13/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,326 041
10/11/2024,PETRO IVOIRE,1 200 039
10/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,301 413
09/11/2024,PETRO IVOIRE,1 226 875
09/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,273 720
08/11/2024,PETRO IVOIRE,1 230 763
08/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,274 590
05/11/2024,VIVO ENERGY CÔTE D'IVOIRE,399 849
05/11/2024,PETRO IVOIRE,243 168
05/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,45 625
03/11/2024,VIVO ENERGY CÔTE D'IVOIRE,1 100 151
01/11/2024,PETRO IVOIRE,2 458 763
01/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,534 555
29/10/2024,VIVO ENERGY CÔTE D'IVOIRE,200 000
29/10/2024,PETRO IVOIRE,1 011 704
29/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,188 402
27/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,486 876
27/10/2024,PETRO IVOIRE,2 517 047
24/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,93 999
24/10/2024,PETRO IVOIRE,519 414
23/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,264 057
23/10/2024,PETRO IVOIRE,1 262 342
22/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,442 706
22/10/2024,PETRO IVOIRE,1 962 096
22/10/2024,VIVO ENERGY CÔTE D'IVOIRE,600 000
19/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,166 990
19/10/2024,PETRO IVOIRE,783 073
